Name,URL,Type,Country,Date,Source,Statement,X status,Bluesky,Mastodon
Freie Universität Berlin,,Universities & Research organisations,Germany,2024-04-24,https://www.fu-berlin.de/informationen-fuer/beschaeftigte/aktuelles/news/240424-ausstieg-x/index.html ,Website,Announcement + unmaintained,https://bsky.app/profile/freieuniversitaet.bsky.social,https://berlin.social/@freieuniversitaet
The University of Strasbourg,https://www.unistra.fr,Universities & Research organisations,France,2024-01-18,https://www.unistra.fr/communiques-presse/detail-communique-de-presse-archive/22529-the-university-of-strasbourg-leaves-the-social-network-x-ex-twitter,Website,,,
Sorbonne Université,https://www.sorbonne-universite.fr,Universities & Research organisations,France,2024-11-27,https://www.sorbonne-universite.fr/en/news/sorbonne-university-moves-x-bluesky,Website,,https://bsky.app/profile/sorbonne-universite.fr,
Universitat de Barcelona,https://web.ub.edu,Universities & Research organisations,Spain,2024-11-20,https://web.ub.edu/en/web/actualitat/w/ub-deixa-x,Website,,,
Utrech University,,Universities & Research organisations,The Netherlands,2024-07-03,https://www.uu.nl/en/news/utrecht-university-quits-x,Website,,,
VU Amsterdam,,Universities & Research organisations,The Netherlands,2024-11-21,https://vu.nl/en/news/2024/vu-amsterdam-no-longer-active-on-x,Website,,,
JISC,,Universities & Research organisations,United Kingdom,2024-08-21,https://www.jisc.ac.uk/news/all/our-statement-on-leaving-x-twitter,Website,,,
UCL's Institute of Advanced Studies,,Universities & Research organisations,United Kingdom,2024-11-25,https://www.ucl.ac.uk/institute-of-advanced-studies/news/2024/nov/ias-leaving-x-formerly-twitter,Website,,,
Universität Wien,,Universities & Research organisations,Austria,2024-11-25,https://x.com/univienna/status/1860959221799407820,Twitter,Announcement + unmaintained,yes,https://bewegung.social/@univienna@fediscience.org
Technische Universität Berlin,,Universities & Research organisations,Germany,,,,Locked account,tuberlin.bsky.social,https://wisskomm.social/@tuberlin
Karlsruher Institut für Technologie (KIT),,Universities & Research organisations,Germany,2024-12-04,https://x.com/KITKarlsruhe/status/1864229072601272519,Twitter,Announcement + unmaintained,kitkarlsruhe.bsky.social,https://mastodon.social/@KIT_Karlsruhe
Universität Oldenburg,https://uol.de,Universities & Research organisations,Germany,,,,Deleted,,https://wisskomm.social/@UniOldenburg
Universität Bremen,,Universities & Research organisations,Germany,,,,Suspended,No,@unibremen@wisskomm.social 
Universität Ulm,,Universities & Research organisations,Germany,2024-10-24,https://x.com/uni_ulm/status/1849414627119043039,Twitter,Announcement + unmaintained,,https://mastodon.social/@UniUlm
HTW Berlin,,Universities & Research organisations,Germany,,,,Abandoned,,https://wisskomm.social/@HTW_Berlin
,,,,,,,,,https://wisskomm.social/@uni_paderborn
